Date, Open, High, Low, Close, Volume,sigma
2020-05-15,75.0875,76.975,75.0525,76.9275,166348360,0.01785417043064748
2020-05-18,78.2925,79.125,77.581,78.74,135372516,0.015914698906783792
2020-05-19,78.7575,79.63,78.2525,78.285,101729564,0.015443861362686941
2020-05-20,79.17,79.88,79.05,79.8075,111504884,0.015478448616583353
2020-05-21,79.665,80.2225,78.9675,79.2125,102688844,0.014991581299251848
2020-05-22,78.9425,79.8075,78.8375,79.7225,81803000,0.014935106782469733
2020-05-26,80.875,81.06,79.125,79.1825,125521796,0.014285063551730653
2020-05-27,79.035,79.6775,78.2725,79.5275,112945080,0.01282846157349959
2020-05-28,79.1925,80.86,78.9075,79.5625,133796408,0.012285881312577681
2020-05-29,79.8125,80.2875,79.1175,79.485,153598108,0.011345567214976694
2020-06-01,79.4375,80.5875,79.3025,80.4625,81018600,0.011271106938503406
2020-06-02,80.1863,80.86,79.7325,80.835,87642796,0.0110067677105816
2020-06-03,81.165,81.55,80.575,81.28,104491204,0.010919024596745232
2020-06-04,81.0975,81.405,80.195,80.58,87560360,0.011187831553855061
2020-06-05,80.8375,82.9375,80.8075,82.875,137250204,0.011951786006277798
2020-06-08,82.5625,83.4,81.83,83.365,95654524,0.01160419639964049
2020-06-09,83.035,86.4025,83.0025,85.9975,147712360,0.012757476719985408
2020-06-10,86.975,88.6925,86.5225,88.21,166651764,0.012840330161683107
2020-06-11,87.3275,87.765,83.87,83.975,201662436,0.018063283118846883
2020-06-12,86.18,86.95,83.5558,84.7,200146048,0.01790654779975719
2020-06-15,83.3125,86.42,83.145,85.7475,138808920,0.01744826577234582
2020-06-16,87.865,88.3,86.18,88.02,165428720,0.017941799725165526
2020-06-17,88.7875,88.85,87.7725,87.8975,114406524,0.017731823026835736
2020-06-18,87.8525,88.3625,87.305,87.9325,96820400,0.017509460946444257
2020-06-19,88.6588,89.14,86.2875,87.43,264475812,0.017700315718905936
2020-06-22,87.835,89.865,87.7875,89.7175,135445280,0.018089882551869725
2020-06-23,91.0,93.095,90.5675,91.6325,212155484,0.018382373094504353
2020-06-24,91.25,92.1975,89.63,90.015,192623392,0.019225641740106658
2020-06-25,90.175,91.25,89.3925,91.21,137522532,0.01918779405568463
2020-06-26,91.1025,91.33,88.255,88.4075,205256828,0.02103308821596029
2020-06-29,88.3125,90.5434,87.82,90.445,130646080,0.021427024836803903
2020-06-30,90.02,91.495,90.0,91.2,140223280,0.02143220262392713
2020-07-01,91.28,91.84,90.9775,91.0275,110737244,0.021226917141948215
2020-07-02,91.9625,92.6175,90.91,91.0275,114041476,0.02059603526532289
2020-07-06,92.5,93.945,92.4675,93.4625,118655640,0.021185080546966845
2020-07-07,93.8525,94.655,93.0575,93.1725,112424436,0.020359545056121555
2020-07-08,94.18,95.375,94.09,95.3425,117091884,0.020225097265929186
2020-07-09,96.2625,96.3175,94.6725,95.6825,125642600,0.015789425605941942
